"Ticker","Company","2016","2015","2014","2013","2012","2011","2010","2009","2008"
"NOVL","Novell, Inc.","","","","","","X","X","X","X"
"NRG","NRG Energy","X","X","X","X","X","X","","",""
"NSC","Norfolk Southern Corp.","X","X","X","X","X","X","X","X","X"
"NSM","National Semiconductor","","","","","","X","X","X","X"
"NTAP","NetApp","X","X","X","X","X","X","X","X","X"
"NTRS","Northern Trust Corp.","X","X","X","X","X","X","X","X","X"
"NUE","Nucor Corp.","X","X","X","X","X","X","X","X","X"
"NVDA","Nvidia Corp.","X","X","X","X","X","X","X","X","X"
"NWL","Newell Rubbermaid Co.","X","X","X","X","X","X","X","X","X"
"NVLS","Novellus Systems","","","","","X","X","X","X","X"
"NWS","News Corp Class B","X","","","","","","","",""
"NWSA","News Corporation","X","X","X","","","","","",""
"NYT","The New York Times Co.","","","","","","","X","X","X"
"NYX","NYSE Euronext","","","","X","X","X","X","X","X"
"O","Realty Income Corporation","X","","","","","","","",""
"ODP","Office Depot Inc.","","","","","","","X","X","X"
"OI","Owens-Illinois Inc.","X","X","X","X","X","X","X","X",""
"OKE","ONEOK, Inc.","X","X","X","X","X","X","","",""
"OMC","Omnicom Group","X","X","X","X","X","X","X","X","X"
"OMX","OfficeMax Inc.","","","","","","","","","X"
"ORCL","Oracle Corp.","X","X","X","X","X","X","X","X","X"
"ORLY","O'Reilly Automotive","X","X","X","X","X","X","X","",""
"OXY","Occidental Petroleum","X","X","X","X","X","X","X","X","X"
"PAYX","Paychex Inc.","X","X","X","X","X","X","X","X","X"
"PBCT","People's United Bank","X","X","X","X","X","X","X","X",""
"PBG","Pepsi Bottling Group Inc.","","","","","","","X","X","X"
"PBI","Pitney-Bowes","X","X","X","X","X","X","X","X","X"
"PCAR","PACCAR Inc.","X","X","X","X","X","X","X","X","X"
"PCG","PG&E Corp.","X","X","X","X","X","X","X","X","X"
"PCL","Plum Creek Timber Co.","X","X","X","X","X","X","X","X","X"
"PCLN","Priceline.com Inc","X","X","X","X","X","X","X","",""
"PCP","Precision Castparts","X","X","X","X","X","X","X","X","X"
"PCS","MetroPCS","","","","X","X","X","X","",""
"PDCO","Patterson Companies","X","X","X","X","X","X","X","X","X"
"PEG","Public Serv. Enterprise Inc.","X","X","X","X","X","X","X","X","X"
"PEP","PepsiCo Inc.","X","X","X","X","X","X","X","X","X"
"PETM","PetSmart, Inc.","","X","X","X","","","","",""
"PFE","Pfizer Inc.","X","X","X","X","X","X","X","X","X"
"PFG","Principal Financial Group","X","X","X","X","X","X","X","X","X"
"PG","Procter & Gamble","X","X","X","X","X","X","X","X","X"
"PGN","Progress Energy Inc.","","","","","X","X","X","X","X"
"PGR","Progressive Corp.","X","X","X","X","X","X","X","X","X"
"PH","Parker-Hannifin","X","X","X","X","X","X","X","X","X"
"PHM","PulteGroup Inc","X","X","X","X","X","X","X","X","X"
"PKI","PerkinElmer","X","X","X","X","X","X","X","X","X"
"PLD","Prologis","X","X","X","X","X","X","X","X","X"
"PLL","Pall Corp.","","X","X","X","X","X","X","X","X"
"PM","Philip Morris Int'l","X","X","X","X","X","X","X","X",""
"PNC","PNC Financial SVCS Group Inc","X","X","X","X","X","X","X","X","X"
"PNR","Pentair Ltd.","X","X","X","X","","","","",""
"PNW","Pinnacle West Capital","X","X","X","X","X","X","X","X","X"
"POM","Pepco Holdings Inc.","X","X","X","X","X","X","X","X","X"
"PPG","PPG Industries","X","X","X","X","X","X","X","X","X"
"PPL","PPL Corp.","X","X","X","X","X","X","X","X","X"
"PRGO","Perrigo","X","X","X","X","X","","","",""
"PRU","Prudential Financial","X","X","X","X","X","X","X","X","X"
"PSA","Public Storage","X","X","X","X","X","X","X","X","X"
"PSX","Phillips 66","X","X","X","X","","","","",""
"PTV","Pactiv LLC","","","","","","","X","X","X"
"PVH","PVH Corp.","X","X","X","","","","","",""
"PWR","Quanta Services Inc.","X","X","X","X","X","X","X","",""
"PX","Praxair Inc.","X","X","X","X","X","X","X","X","X"
"PXD","Pioneer Natural Resources","X","X","X","X","X","X","X","X",""
"PYPL","PayPal Holdings Inc.","X","","","","","","","",""
"Q","Qwest Communications","","","","","","X","X","X","X"
"QCOM","Qualcomm, Inc.","X","X","X","X","X","X","X","X","X"
"QEP","QEP Resources","","X","X","X","X","X","","",""
"QLGC","QLogic Corp.","","","","","","X","X","X","X"
"QRVO","Qorvo","X","","","","","","","",""
"R","Ryder System","X","X","X","X","X","X","X","X","X"
"RAI","Reynolds American Inc.","X","X","X","X","X","X","X","X","X"
"RCL","Royal Caribbean Cruises","X","X","","","","","","",""
"RDC","Rowan Companies plc","","","X","X","X","X","X","X","X"
"REGN","Regeneron","X","X","X","","","","","",""
"RF","Regions Financial Corp.","X","X","X","X","X","X","X","X","X"
"RHI","Robert Half International","X","X","X","X","X","X","X","X","X"
"RHT","Red Hat Inc.","X","X","X","X","X","X","X","",""
"RIG","Transocean","X","X","X","","","","","","X"
"RL","Polo Ralph Lauren Corp.","X","X","X","X","X","X","X","X","X"
"ROH","Rohm and Haas Co.","","","","","","","","X","X"
"ROK","Rockwell Automation Inc.","X","X","X","X","X","X","X","X","X"
"ROP","Roper Industries","X","X","X","X","X","X","X","",""
"ROST","Ross Stores","X","X","X","X","X","X","X","",""
"RRC","Range Resources Corp.","X","X","X","X","X","X","X","X","X"
"RRD","R.R. Donnelley","","","","","X","X","X","X","X"
"RSG","Republic Services Inc.","X","X","X","X","X","X","X","X",""
"RSH","RadioShack Corp.","","","","","","X","X","X","X"
"RTN","Raytheon Co.","X","X","X","X","X","X","X","X","X"
"S","Sprint Corp","","","","X","X","X","X","X","X"
"SAF","Safeco Corp.","","","","","","","","","X"
"SBUX","Starbucks Corp.","X","X","X","X","X","X","X","X","X"
"SCG","SCANA Corp.","X","X","X","X","X","X","X","X",""
"SCHW","Charles Schwab Corp.","X","X","X","X","X","X","X","X","X"
"SE","Spectra Energy Corp.","X","X","X","X","X","X","X","X","X"
"SEE","Sealed Air Corp.","X","X","X","X","X","X","X","X","X"
"SGP","Schering-Plough Corp.","","","","","","","","X","X"
"SHLD","Sears Holding Corporation","","","","","X","X","X","X","X"
"SHW","Sherwin-Williams Co.","X","X","X","X","X","X","X","X","X"
"SIAL","Sigma-Aldrich Corp.","","X","X","X","X","X","X","X","X"
"SIG","Signet Jewelers Limited","X","","","","","","","",""
"SII","Smith International Inc.","","","","","","","X","X","X"
"SJM","J.M. Smucker Co.","X","X","X","X","X","X","X","X",""
"SLB","Schlumberger Ltd.","X","X","X","X","X","X","X","X","X"
"SLG","SL Green Realty Corp","X","","","","","","","",""
"SLM","SLM Corp.","","","X","X","X","X","X","X","X"
"SNA","Snap-On Inc.","X","X","X","X","X","X","X","X","X"
"SNDK","SanDisk Corporation","X","X","X","X","X","X","X","X","X"
"SNI","Scripps Networks Int.","X","X","X","X","X","X","X","X",""
"SO","Southern Co.","X","X","X","X","X","X","X","X","X"
"SOV","Sovereign Bancorp.","","","","","","","","X","X"
"SPG","Simon Property Group Inc.","X","X","X","X","X","X","X","X","X"
"SPLS","Staples Inc.","X","X","X","X","X","X","X","X","X"
"SRCL","Stericycle Inc.","X","X","X","X","X","X","X","X",""
"SRE","Sempra Energy","X","X","X","X","X","X","X","X","X"
"SSP","E.W. Scripps Co.","","","","","","","","","X"
"STI","SunTrust Banks","X","X","X","X","X","X","X","X","X"
"STJ","St. Jude Medical, Inc.","X","X","X","X","X","X","X","X","X"
"STR","Questar Corp.","","","","","","","X","X","X"
"STT","State Street Corp.","X","X","X","X","X","X","X","X","X"
"STX","Seagate Technology","X","X","X","X","","","","",""
"STZ","Constellation Brands","X","X","X","X","X","X","X","X","X"
"SUN","Sunoco Inc.","","","","","X","X","X","X","X"
"SUNE","SunEdison Inc","","","","","","X","X","X","X"
"SWK","Stanley Black & Decker","X","X","X","X","X","X","X","X","X"
"SWKS","Skyworks Solutions Inc.","X","","","","","","","",""
"SWN","Southwestern Energy","X","X","X","X","X","X","X","X",""
"SVU","Supervalu Inc.","","","","","X","X","X","X","X"
"SWY","Safeway Inc.","","X","X","X","X","X","X","X","X"
"SYF","Synchrony Financial","X","","","","","","","",""
"SYK","Stryker Corp.","X","X","X","X","X","X","X","X","X"
"SYMC","Symantec Corp.","X","X","X","X","X","X","X","X","X"
"SYY","Sysco Corp.","X","X","X","X","X","X","X","X","X"
"T","AT&T Inc.","X","X","X","X","X","X","X","X","X"
"TAP","Molson Coors Brewing Co.","X","X","X","X","X","X","X","X","X"
"TDC","Teradata Corp.","X","X","X","X","X","X","X","X","X"
"TE","TECO Energy","X","X","X","X","X","X","X","X","X"
"TEG","Integrys Energy Group Inc.","","X","X","X","X","X","X","X","X"
"TEL","TE Connectivity Ltd.","X","X","X","X","X","","","X","X"
"TER","Teradyne","","","","X","X","X","X","X","X"
"TEX","Terex Corp.","","","","","","","","","X"
"TGT","Target Corp.","X","X","X","X","X","X","X","X","X"
"THC","Tenet Healthcare Corp.","X","X","X","X","X","X","X","X","X"
"TIE","Titanium Metals","","","","","X","X","X","X","X"
"TIF","Tiffany & Co.","X","X","X","X","X","X","X","X","X"
"TJX","TJX Companies Inc.","X","X","X","X","X","X","X","X","X"
"TLAB","Tellabs Inc.","","","","","","X","X","X","X"
"TMK","Torchmark Corp.","X","X","X","X","X","X","X","X","X"
"TMO","Thermo Fisher Scientific","X","X","X","X","X","X","X","X","X"
"TRIP","TripAdvisor","X","X","X","X","X","","","",""
"TROW","T. Rowe Price Group","X","X","X","X","X","X","X","X","X"
"TRV","The Travelers Companies","X","X","X","X","X","X","X","X","X"
"TSCO","Tractor Supply Co.","X","X","","","","","","",""
"TSN","Tyson Foods","X","X","X","X","X","X","X","X","X"
"TSO","Tesoro Petroleum Co.","X","X","X","X","X","X","X","X","X"
"TSS","Total System Services","X","X","X","X","X","X","X","X","X"
"TT","Trane Inc.","","","","","","","","","X"
"TWC","Time Warner Cable Inc.","X","X","X","X","X","X","X","",""
"TWX","Time Warner Inc.","X","X","X","X","X","X","X","X","X"
"TXN","Texas Instruments","X","X","X","X","X","X","X","X","X"
"TXT","Textron Inc.","X","X","X","X","X","X","X","X","X"
"TYC","Tyco Int'l","X","X","X","X","X","X","","X","X"
"UA","Under Armour","X","X","","","","","","",""
"UAL","United Continental Holdings","X","","","","","","","",""
"UHS","Universal Health Services","X","X","","","","","","",""
"UIS","Unisys Corp.","","","","","","","","","X"
"UNH","United Health Group Inc.","X","X","X","X","X","X","X","X","X"
"UNM","Unum Group","X","X","X","X","X","X","X","X","X"
"UNP","Union Pacific","X","X","X","X","X","X","X","X","X"
"UPS","United Parcel Service","X","X","X","X","X","X","X","X","X"
"URBN","Urban Outfitters","X","X","X","X","X","X","","",""
"URI","United Rentals, Inc.","X","X","","","","","","",""
"USB","U.S. Bancorp","X","X","X","X","X","X","X","X","X"
"UST","UST Inc.","","","","","","","","X","X"
"UTX","United Technologies","X","X","X","X","X","X","X","X","X"
"V","Visa Inc.","X","X","X","X","X","X","X","",""
"WAMUQ","Washington Mutual Inc.","","","","","","","","","X"
"VAR","Varian Medical Systems","X","X","X","X","X","X","X","X","X"
"WAT","Waters Corp.","X","X","X","X","X","X","X","X","X"
"WB","Wachovia Corp.","","","","","","","","","X"
"WBA","Walgreens Boots Alliance","X","X","X","X","X","X","X","X","X"
"WDC","Western Digital","X","X","X","X","X","X","X","",""
"WEC","WEC Energy Group Inc","X","X","X","X","X","X","X","X",""
"WEN","Wendy's International Inc.","","","","","","","","","X"
"VFC","V.F. Corp.","X","X","X","X","X","X","X","X","X"
"WFC","Wells Fargo","X","X","X","X","X","X","X","X","X"
"WFM","Whole Foods Market","X","X","X","X","X","X","X","X","X"
"WFT","Weatherford Int'l Ltd.","","","","","","","","X","X"
"WHR","Whirlpool Corp.","X","X","X","X","X","X","X","X","X"
"VIAB","Viacom Inc.","X","X","X","X","X","X","X","X","X"
"VIAV","VIAVI Solutions Inc","","","","X","X","X","X","X","X"
"WIN","Windstream Comm's","","X","X","X","X","X","X","X","X"
"VLO","Valero Energy","X","X","X","X","X","X","X","X","X"
"WM","Waste Management Inc.","X","X","X","X","X","X","X","X","X"
"WMB","Williams Companies","X","X","X","X","X","X","X","X","X"
"VMC","Vulcan Materials","X","X","X","X","X","X","X","X","X"
"WMT","Wal-Mart Stores","X","X","X","X","X","X","X","X","X"
"VNO","Vornado Realty Trust","X","X","X","X","X","X","X","X","X"
"WPX","WPX Energy Inc","","","X","X","X","","","",""
"VRSK","Verisk Analytics Inc","X","","","","","","","",""
"VRSN","Verisign Inc.","X","X","X","X","X","X","X","X","X"
"VRTX","Vertex Pharmaceuticals Inc.","X","X","X","","","","","",""
"VTR","Ventas Inc.","X","X","X","X","X","X","X","",""
"VZ","Verizon Communications","X","X","X","X","X","X","X","X","X"
"WU","Western Union Co.","X","X","X","X","X","X","X","X","X"
"WWY","Wrigley Co.","","","","","","","","","X"
"WY","Weyerhaeuser Corp.","X","X","X","X","X","X","X","X","X"
"WYE","Wyeth Corp.","","","","","","","","X","X"
"WYN","Wyndham Worldwide","X","X","X","X","X","X","X","X","X"
"WYNN","Wynn Resorts Ltd.","X","X","X","X","X","X","X","X",""
"X","U.S. Steel Corp.","","","X","X","X","X","X","X","X"
"XEC","Cimarex Energy","X","X","","","","","","",""
"XEL","Xcel Energy Inc.","X","X","X","X","X","X","X","X","X"
"XL","XL Capital","X","X","X","X","X","X","X","X","X"
"XLNX","Xilinx Inc.","X","X","X","X","X","X","X","X","X"
"XOM","Exxon Mobil Corp.","X","X","X","X","X","X","X","X","X"
"XRAY","Dentsply Int'l","X","X","X","X","X","X","X","X",""
"XRX","Xerox Corp.","X","X","X","X","X","X","X","X","X"
"XTO","XTO Energy Inc.","","","","","","","X","X","X"
"XYL","Xylem Inc.","X","X","X","X","X","","","",""
"YHOO","Yahoo Inc.","X","X","X","X","X","X","X","X","X"
"YUM","Yum! Brands Inc.","X","X","X","X","X","X","X","X","X"
"ZBH","Zimmer Biomet Holdings","X","X","X","X","X","X","X","X","X"
"ZION","Zions Bancorp","X","X","X","X","X","X","X","X","X"
"ZTS","Zoetis, Inc.","X","X","X","","","","","",""
